gid,cnn_sgmt_pkey,street_name,street_type,full_street_name,street_layer,class_code,duel_car_way_yn,gis_length_miles,duel_car_way_id,corrected_length_miles,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,shape_length,sgmt_trnsprtn_pkey,daily_ride_qrt,daily_ride_eght,speed_avg_mta
11391,4400000,CORDOVA,ST,CORDOVA ST,STREETS,5,NO,0.048490036,0,0.04849006,21395000,21393000,98.89880206,3952,37746,4481,
11392,4401000,CORDOVA,ST,CORDOVA ST,STREETS,5,NO,0.048962817,0,0.048962818,21393000,21388000,99.86218049,3953,22898,4727,
11393,4402000,CORDOVA,ST,CORDOVA ST,STREETS,5,NO,0.050639602,0,0.050639622,21388000,21387000,103.2811274,3954,16420,4727,
11394,4403000,CORDOVA,ST,CORDOVA ST,STREETS,5,NO,0.051100788,0,0.051100768,21387000,51009000,104.2207605,3955,6973,3370,
11395,4404000,CORNWALL,ST,CORNWALL ST,STREETS,5,NO,0.062274955,0,0.06227497,27564000,27565000,126.6640588,3956,40862,14119,
11396,4405000,CORNWALL,ST,CORNWALL ST,STREETS,5,NO,0.05848662,0,0.058486611,27565000,27582000,118.9586995,3957,42921,17980,
11397,4406000,CORNWALL,ST,CORNWALL ST,STREETS,5,NO,0.059205607,0,0.059205635,27582000,27585000,120.4210005,3958,43974,11675,
11398,4407000,CORNWALL,ST,CORNWALL ST,STREETS,5,NO,0.058497292,0,0.05849727,27585000,27586000,118.9803586,3959,41874,14177,
11399,4408000,CORNWALL,ST,CORNWALL ST,STREETS,5,NO,0.058631294,0,0.058631322,27586000,27597000,119.2538434,3960,37507,18194,
11400,4409000,CORNWALL,ST,CORNWALL ST,STREETS,5,NO,0.062739042,0,0.062739035,27597000,27593000,127.6580135,3961,35140,18589,
11401,4410000,CORONA,ST,CORONA ST,STREETS,5,NO,0.130685204,0,0.130685185,22714000,22712000,266.5143655,3962,18001,0,
11402,4411000,CORONA,ST,CORONA ST,STREETS,5,NO,0.145662462,0,0.145662513,22712000,22747000,297.2112578,3963,134,73,
11403,4412000,CORONA,ST,CORONA ST,STREETS,5,NO,0.037292638,0,0.048902153,22747000,35015000,76.03971182,3964,134,90,
11404,4414000,CORTES,AVE,CORTES AVE,STREETS,5,NO,0.047629244,0,0.047629236,22969000,22962000,97.22502647,3965,7510,0,
11405,4415000,CORTES,AVE,CORTES AVE,STREETS,5,NO,0.050288893,0,0.050288892,22962000,22971000,102.6531687,3966,7510,0,
11406,4416000,CORTLAND,AVE,CORTLAND AVE,STREETS,4,NO,0.067605532,0,0.067605576,21326000,21263000,137.5428157,3967,92790,40642,
11407,4417000,CORTLAND,AVE,CORTLAND AVE,STREETS,4,NO,0.054468447,0,0.054468438,21263000,21254000,110.8149452,3968,91388,25914,
