latitude,longitude,Severity,Hour,Lane
37.78273164,-122.4064794,1,16,No
37.74321808,-122.4757131,1,11,No
37.73103236,-122.4717974,1,15,No
37.76408995,-122.3926163,0,7,Yes
37.77903213,-122.4018433,1,12,Yes
37.78149951,-122.4049333,1,22,Yes
37.77523976,-122.4584353,1,8,Yes
37.77674611,-122.4078421,1,11,Yes
37.77411548,-122.4045407,0,16,Yes
37.78496026,-122.4195479,1,8,No
37.76827365,-122.4199815,1,11,Yes
37.78446477,-122.4075354,1,17,Yes
37.79809568,-122.4275749,1,7,No
37.76864813,-122.4029268,1,12,No
37.75254468,-122.3926394,0,22,No
37.76403136,-122.3878834,1,16,Yes
37.7369644,-122.3995041,0,23,No
37.77863826,-122.4317144,1,14,Yes
37.78147169,-122.4588742,1,16,Yes
37.72308024,-122.4523316,2,7,Yes
37.78530818,-122.400117,1,18,Yes
37.77032625,-122.4368457,1,23,No
37.78598988,-122.4113762,0,22,No
37.76044467,-122.3900126,0,18,No
37.78311426,-122.420929,2,20,No
37.76981508,-122.4177532,0,18,No
37.79690906,-122.4052884,1,20,Yes
37.77871943,-122.4147412,0,1,Yes
37.76156133,-122.423872,1,22,No
37.77769993,-122.4315746,1,13,No
37.76535136,-122.4196979,0,16,No
37.78265582,-122.4157082,1,14,No
37.70947489,-122.412915,0,17,No
37.7704455,-122.4098575,0,16,No
37.79608726,-122.4217968,0,18,Yes
37.78589162,-122.4946562,1,14,Yes
37.7863442,-122.4021482,1,12,No
37.77168827,-122.4337348,1,17,No
37.75278067,-122.4093769,0,12,No
37.76282673,-122.4295294,1,7,Yes
37.80769049,-122.4123296,0,18,No
37.74130586,-122.3988624,1,12,No
37.78469215,-122.4216805,1,10,No
37.80503199,-122.4479991,0,16,Yes
37.79948982,-122.4090144,1,23,No
37.77000518,-122.4223777,1,16,Yes
37.77625367,-122.4279137,0,21,No
37.78756739,-122.4200778,1,8,Yes
37.76977179,-122.4040104,0,7,Yes
37.78879708,-122.4068285,2,13,Yes
37.75117881,-122.4205735,1,12,Yes
37.77252627,-122.4069683,1,8,Yes
37.77578658,-122.4278191,2,21,No
37.79368112,-122.4111943,2,14,No
37.77725392,-122.4585806,1,18,No
37.72299687,-122.4461297,1,13,Yes
37.76439539,-122.4535159,0,19,Yes
37.78515094,-122.4330834,0,21,No
37.7793396,-122.4138824,0,18,Yes
37.77114193,-122.4455353,1,19,No
37.77288398,-122.418613,0,8,No
37.76546142,-122.4960631,0,17,Yes
37.72291533,-122.4453482,0,7,Yes
37.79027126,-122.4005601,0,13,Yes
37.77853793,-122.4249982,1,17,Yes
37.72214305,-122.433906,0,6,No
37.77623082,-122.4115942,0,13,Yes
37.76953305,-122.4506552,1,12,No
37.77074775,-122.4248526,1,20,No
37.76478103,-122.4025634,0,9,No
37.72634147,-122.4085416,0,17,No
37.72877994,-122.389935,1,8,Yes
37.76316782,-122.4239592,1,21,No
37.76273508,-122.412887,1,8,Yes
37.73448353,-122.4296612,0,9,Yes
37.76971451,-122.4049902,1,8,Yes
37.77575013,-122.4529638,0,10,No
37.7697347,-122.4245811,1,6,No
37.7851265,-122.4635346,1,15,No
37.77188564,-122.4233968,0,12,Yes
37.7781918,-122.4140816,2,9,Yes
37.78168184,-122.4015933,1,16,Yes
37.72509445,-122.4379336,2,8,No
37.78223057,-122.410292,0,13,No
37.74803062,-122.4900088,0,18,No
37.71863406,-122.4413178,1,13,Yes
37.75544622,-122.3870659,1,6,No
37.77247397,-122.4147839,0,17,Yes
37.7732478,-122.4289901,1,19,Yes
37.78181551,-122.401424,1,18,Yes
37.73959403,-122.4069932,1,13,Yes
37.76977179,-122.4040104,1,8,Yes
37.7694982,-122.4509285,0,13,No
37.71647847,-122.4410254,1,20,Yes
37.77502758,-122.4713731,1,17,Yes
37.78026013,-122.4185985,0,21,Yes
37.77890983,-122.4220786,1,22,No
37.76958608,-122.4075874,1,20,No
