cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow,Cluster_x,Cluster_y,Score_y2,Scale_Score_y2
8173000,26918000,26920000,NO,25.0,1.0,0.0,NO,42554.0,missing,missing,missing,5.0,5.0,8.745094526977242e-05,52.34952316557941
8174000,26920000,26919000,NO,25.0,11.0,11.0,NO,46670.0,missing,missing,missing,5.0,4.0,7.143842958695042e-05,50.542696073827386
8175000,26919000,26911000,NO,25.0,0.0,38.0,NO,98332.0,missing,missing,missing,4.0,5.0,0.00012080468959863619,55.236067115861886
8176000,26911000,26906000,NO,25.0,0.0,11.0,NO,91451.0,missing,missing,missing,5.0,4.0,0.00016376726116904992,57.95442061270124
8177000,25891000,25896000,NO,25.0,0.0,17.0,NO,64507.0,missing,missing,missing,3.0,5.0,0.00012986163947277746,55.88194464470732
8178000,25904000,25992000,NO,25.0,0.0,0.0,YES,54757.0,missing,missing,missing,5.0,1.0,0.00023988526271571898,61.36465106917488
8179000,21551000,21553000,NO,25.0,0.0,0.0,NO,20736.0,missing,missing,missing,6.0,0.0,0.0003682406271552494,65.19354055861996
8180000,21553000,21580000,NO,25.0,0.0,18.0,NO,20736.0,missing,missing,missing,0.0,4.0,0.00029280387105247733,63.14557147919247
8181000,21580000,21579000,NO,25.0,0.0,0.0,NO,21844.0,missing,missing,missing,4.0,4.0,0.00018441339593782167,59.015185234490716
8182000,21579000,21588000,NO,25.0,0.0,0.0,NO,14919.0,missing,missing,missing,4.0,3.0,0.0004935063051754766,67.80940213284502
5385000,25604000,21903000,NO,15.0,0.0,34.0,NO,20501.0,missing,missing,missing,5.0,2.0,0.0002762403183052554,62.6253295918351
5390000,20182000,33118000,NO,25.0,0.0,76.0,NO,12359.0,missing,missing,missing,1.0,0.0,0.0003315205405324434,64.2550539446221
5391000,33118000,20204000,NO,25.0,0.0,0.0,NO,33783.0,missing,missing,missing,0.0,4.0,0.00016461471492947268,58.00053248748024
